id,question,optionA,optionB,optionC,optionD,answer
1,What is the main goal of Artificial Intelligence?,To increase internet speed,To simulate human intelligence in machines,To store large data,To design hardware,B
2,What does AI stand for?,Automated Intelligence,Artificial Information,Artificial Intelligence,Advanced Internet,C
3,Artificial Intelligence mainly deals with machines that can:,Only calculate,Only store data,Think and learn like humans,Print documents,C
4,Machine Learning is a subset of:,Data Science,Artificial Intelligence,Deep Learning,Cloud Computing,B
5,"In Machine Learning, a system learns from:",Hard-coded rules,Data,Instructions only,Output devices,B
6,Which type of learning uses labeled data?,Unsupervised Learning,Reinforcement Learning,Supervised Learning,Deep Learning,C
7,Which type of learning works with unlabeled data?,Supervised Learning,Unsupervised Learning,Reinforcement Learning,Semi-supervised Learning,B
8,Reward and penalty concept is used in:,Supervised Learning,Unsupervised Learning,Reinforcement Learning,Deep Learning,C
9,Email spam detection is an example of:,Unsupervised Learning,Reinforcement Learning,Supervised Learning,Computer Vision,C
10,Deep Learning is based on:,Databases,Expert Systems,Neural Networks,Operating Systems,C
11,Neural Networks are inspired by the:,Computer architecture,Internet,Human brain,Operating system,C
12,The basic unit of a neural network is called:,Register,Node (Neuron),Gate,Block,B
13,Which layer of neural network receives raw data?,Output layer,Hidden layer,Input layer,Processing layer,C
14,Which layer produces the final result in a neural network?,Input layer,Hidden layer,Output layer,Training layer,C
15,Backpropagation is used to:,Increase data size,Reduce error,Store output,Generate noise,B
16,NLP stands for:,Neural Learning Process,Network Layer Protocol,Natural Language Processing,New Language Program,C
17,NLP is mainly used for:,Image processing,Understanding human language,Hardware control,Database management,B
18,Chatbots mainly use which AI concept?,Computer Vision,Robotics,Natural Language Processing,Blockchain,C
19,Face recognition technology comes under:,NLP,Robotics,Computer Vision,Expert System,C
20,Computer Vision is used to process:,Text,Images and videos,Numbers only,Sound,B
21,An Expert System is mainly based on:,Neural networks,Knowledge base and rules,Sensors,Internet,B
22,Medical diagnosis software is an example of:,Robotics,NLP,Expert System,Compiler,C
23,Narrow AI is also known as:,Strong AI,Weak AI,Super AI,Self-Aware AI,B
24,Siri and Alexa are examples of:,Artificial General Intelligence,Artificial Super Intelligence,Narrow AI,Self-Aware AI,C
25,AGI refers to AI with:,Limited intelligence,Human-level intelligence,No intelligence,Only calculation ability,B
26,ASI means AI that is:,Less intelligent than humans,Equal to humans,More intelligent than humans,Rule-based,C
27,Reactive Machines AI:,Uses past data,Has memory,Reacts only to present situations,Understands emotions,C
28,Self-driving cars are an example of:,Reactive AI,Limited Memory AI,Theory of Mind AI,Self-Aware AI,B
29,Theory of Mind AI focuses on:,Calculations,Emotions and intentions,Data storage,Sorting data,B
30,Self-Aware AI is currently:,Commonly used,Under testing,Hypothetical,Commercial,C
31,Which learning type uses both labeled and unlabeled data?,Supervised,Unsupervised,Reinforcement,Semi-supervised,D
32,AlphaGo is an example of:,Supervised Learning,Unsupervised Learning,Reinforcement Learning,Semi-supervised Learning,C
33,Deep Learning performs best on:,Small datasets,Structured data only,Large and unstructured data,Numerical data only,C
34,Which of the following is NOT an AI application?,Virtual Assistant,Medical diagnosis,Manual typing,Recommendation system,C
35,Recommendation systems are widely used in:,Banking only,Entertainment platforms,Operating systems,Compilers,B
36,Which sector widely uses AI for fraud detection?,Education,Agriculture,Finance,Sports,C
